date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,E1,E2,E3,E4
2008/11/30,35,52339,43499.65294,8839.34706,,,,,,,,,,,,,,,-1630.257902,1875.107713,-1730.16812,-48.04102363,502.5095605,44530.50271,1863.547648,7850.116712,-1341.080072,-535.0820585,217.3364492,44284.16132,50475.45235,,,,,,,,,,,,,-2164.954415,7447.811389,4866.615372,-1615.49504,-1328.390803,665.4889767,44467.93293,3029.454135,3331.745716,1862.378552,-1915.950092,495.3762719,731.6381769,44804.35724,3121.990429,4695.270495,-104.8103314,-861.7770387,2898.69796,28170.33712,13427.4236,997.8858222,,,,
2008/12/31,36,43302,46439.9959,-3137.9959,,,,,,,,,,,,,,,1408.683118,1990.89431,-1745.29566,-148.1143034,405.655019,44528.17342,-8094.241219,9645.731551,-2111.842049,-619.2396354,182.8753638,44298.71599,51396.24122,,,,,,,,,,,,,-827.3931392,-5080.712898,7328.210126,-1353.61901,-1798.269171,611.2840178,44422.47515,-6019.189075,987.6421285,4771.24727,-2127.223449,247.1286819,643.1343649,44799.26008,-5989.765764,4188.879743,772.7148846,-1001.816918,2800.566838,28114.11365,13422.3997,997.8081545,,,,
2009/1/31,37,41185,42036.39007,-851.3900715,,,,,,,,,,,,,,,-986.515731,125.4156244,-1683.339841,-253.218401,308.224402,44525.82402,-9919.672445,10164.8681,-2824.096233,-697.7451784,148.2657122,44313.38004,51104.67244,,,,,,,,,,,,,4623.010115,-12897.55696,7608.163504,-904.9039762,-2177.495972,556.1026495,44377.64368,-7532.176773,-731.622134,6307.349073,-2205.593103,-0.498994098,553.4489549,44794.09298,-7558.061304,3532.648834,1145.220316,-1101.241168,2699.969576,28056.99452,13417.29938,997.7298646,,,,
2009/2/28,38,40448,41873.49491,-1425.494913,,,,,,,,,,,,,,,575.744986,-1513.594159,-1560.336081,-362.2082064,210.4332724,44523.4551,-9846.932385,10081.8832,-3458.768144,-769.8786769,113.5454932,44328.15051,50294.93238,,,,,,,,,,,,,-5085.116478,-2406.842273,5885.313086,-317.4485134,-2461.906607,500.2023461,44333.78282,-8401.597717,-51.44824338,6038.247191,-2145.218433,-243.7193628,462.880186,44788.85638,-8421.627458,4262.180546,759.1698616,-1158.447331,2597.871476,27999.14079,13412.13171,997.6509794,,,,
2009/3/31,39,56998,40933.38239,16064.61761,,,,,,,,,,,,,,,-523.4590163,-1317.51453,-1385.441317,-473.767187,112.4971929,44521.06725,8829.799987,8554.357085,-3973.014081,-834.9201201,78.7527053,44343.02442,48168.20001,,,,,,,,,,,,,1226.718887,10476.74677,2870.273938,340.7202242,-2650.836312,443.8573197,44290.5759,8464.141374,1621.315926,4203.558261,-1967.295868,-478.9820771,371.7115377,44783.55085,8458.897395,5117.789052,-249.424065,-1173.625203,2495.348425,27940.71414,13406.90577,997.5715257,,,,
2009/4/30,40,51742,43520.3604,8221.639599,,,,,,,,,,,,,,,870.2524495,-137.9970341,-1158.880651,-586.3071448,14.63172612,44518.66105,7463.904591,5086.287907,-4317.967145,-892.1494973,43.92534646,44357.9988,44278.09541,,,,,,,,,,,,,1946.276152,7434.079999,-518.3825769,990.8265037,-2746.829187,387.3237455,44248.74502,5737.510861,1818.284755,1528.990204,-1698.651819,-702.5342543,280.223098,44778.17715,5755.570064,4026.508238,-1561.745256,-1150.113977,2393.550309,27881.87728,13401.63062,997.4915306,,,,
2009/5/31,41,36204,42359.82172,-6155.821718,,,,,,,,,,,,,,,-1338.6879,842.0382688,-879.6674606,-697.1507275,-82.94756518,44516.2371,-3443.520469,650.9556296,-4444.760442,-940.8467978,9.101414784,44373.07066,39647.52047,,,,,,,,,,,,,-631.8470057,-3046.442522,-3455.038988,1554.22766,-2755.444327,330.8580521,44207.66033,-5647.891465,463.6504434,-1295.543272,-1367.248614,-910.3873185,188.683662,44772.73656,-5627.033854,1252.50356,-2838.478534,-1094.208541,2293.640509,27822.79493,13396.31536,997.411021,,,,
2009/6/30,42,31520,43361.86416,-11841.86416,,,,,,,,,,,,,,,-752.7001146,1131.229115,-547.1484016,-803.2873079,-180.0251183,44513.79599,-4115.028051,-3442.708819,-4304.337956,-980.4811293,-25.6810918,44388.23705,35635.02805,,,,,,,,,,,,,-1818.153052,-5006.038937,-5376.661534,1963.166017,-2684.804342,274.6959098,44167.73264,-5866.912714,-1718.934914,-3652.839032,-1007.509387,-1098.38832,97.35355523,44767.23081,-5839.713286,-2170.550219,-3799.258884,-1013.661186,2196.78484,27763.63412,13390.96906,997.3300236,,,,
2009/7/31,43,37283,44027.91119,-6744.911188,,,,,,,,,,,,,,,111.9757151,753.284012,-170.6114597,-901.6899957,-276.3853705,44511.33829,3524.577716,-5726.523241,-3846.8872,-1011.267842,-60.39439091,44403.49496,33758.42228,,,,,,,,,,,,,873.3174603,-1552.936134,-6010.084436,2170.04652,-2545.199975,219.0791073,44128.71445,2947.618368,-3585.027402,-4933.686077,-651.0382405,-1263.03203,6.503270669,44761.66211,2975.649935,-4780.933048,-4179.423146,-916.5537883,2104.160313,27704.56381,13385.60078,997.2485656,,,,
2009/8/31,44,39212,45004.48659,-5792.486594,,,,,,,,,,,,,,,1794.42376,-138.6122125,200.9551049,-989.3319009,-371.812759,44508.8646,3421.043994,-4453.145916,-3046.117378,-1033.570444,-95.05159447,44418.84134,35790.95601,,,,,,,,,,,,,1958.506426,-1485.19331,-5322.098173,2153.681556,-2348.530551,164.2269524,44091.35556,3967.111109,-2954.475175,-4749.739293,-321.7533459,-1401.589781,-83.58843862,44756.03492,3966.235885,-4200.122133,-3788.197865,-810.8311717,2016.953317,27645.75439,13380.21963,997.1666738,,,,
